Name,Speed - Ground,Speed - Water,Speed - Air,Speed - Anti-Gravity,Acceleration,Weight,Handling - Ground,Handling - Water,Handling - Air,Handling - Anti-Gravity,Traction,Mini-Turbo
Standard Kart*,0,0,0,0,0,0,0,0,0,0,0,0
Pipe Frame*,0,0.25,0.25,-0.25,0.25,-0.25,0.5,0.5,0.5,0.25,-0.5,0.25
Mach 8,0.5,0.25,0.5,0.25,-0.25,0.25,0,0,0,-0.25,-1,-0.5
Steel Driver,0,0.5,0,-0.25,-0.5,0.5,-0.5,0.75,-0.25,-0.75,0.5,-0.75
Cat Cruiser,0,0,0,0,0,0,0,0,0,0,0,0
Circuit Special*,0.5,0.25,0.5,0.25,-0.25,0.25,0,0,0,-0.25,-1,-0.5
Tri-Speeder,0,0.5,0,-0.25,-0.5,0.5,-0.5,0.75,-0.25,-0.75,0.5,-0.75
Badwagon,0,0.5,0,-0.25,-0.5,0.5,-0.5,0.75,-0.25,-0.75,0.5,-0.75
Prancer,0,0,0,0,0,0,0,0,0,0,0,0
"Biddybuggy*
Buggybud",-0.75,0.5,0.5,-1,1.25,-0.5,0.5,0.75,0.75,0,-0.25,1
Landship**,-0.75,0.5,0.5,-1,1.25,-0.5,0.5,0.75,0.75,0,-0.25,1
"Sneeker*
Bounder",0,0,0,0,0,0,0,0,0,0,0,0
"Sports Coupe
Sports Coupé",0.5,0.25,0.5,0.25,-0.25,0.25,0,0,0,-0.25,-1,-0.5
"Gold Standard
Gold Kart",0.5,0.25,0.5,0.25,-0.25,0.25,0,0,0,-0.25,-1,-0.5
GLA* (DLC),0,0.5,0,-0.25,-0.5,0.5,-0.5,0.75,-0.25,-0.75,0.5,-0.75
W 25 Silver Arrow(DLC),0,0.25,0.25,-0.25,0.25,-0.25,0.5,0.5,0.5,0.25,-0.5,0.25
300 SL Roadster(DLC),0,0,0,0,0,0,0,0,0,0,0,0
Blue Falcon (DLC),0.25,0,0.25,0.25,0.25,-0.25,0,0,0,0,-0.5,0.25
Tanooki Kart (DLC),0,0.5,0.25,-0.25,-0.25,0.25,-0.25,0.5,0.25,-0.75,0.25,-0.5
B Dasher (DLC),0.5,0.25,0.5,0.25,-0.25,0.25,0,0,0,-0.25,-1,-0.5
Streetle (DLC),0.25,0,0.25,0.25,0.25,-0.25,0,0,0,0,-0.5,0.25
P-Wing (DLC),0.5,0.25,0.5,0.25,-0.25,0.25,0,0,0,-0.25,-1,-0.5
Standard Bike*,0,0.25,0.25,-0.25,0.25,-0.25,0.5,0.5,0.5,0.25,-0.5,0.25
Comet+,0,0,0,-0.25,0.75,-0.25,0.75,0.75,0.75,0.5,-1.25,0.5
Sport Bike*+,0,0,0,-0.25,0.75,-0.25,0.75,0.75,0.75,0.5,-1.25,0.5
The Duke,0,0,0,0,0,0,0,0,0,0,0,0
Flame Rider,0,0.25,0.25,-0.25,0.25,-0.25,0.5,0.5,0.5,0.25,-0.5,0.25
Varmint,0,0.25,0.25,-0.25,0.25,-0.25,0.5,0.5,0.5,0.25,-0.5,0.25
"Mr. Scooty
Mr Scooty",-0.75,0.5,0.5,-1,1.25,-0.5,0.5,0.75,0.75,0,-0.25,1
Jet Bike+,0,0,0,-0.25,0.75,-0.25,0.75,0.75,0.75,0.5,-1.25,0.5
Yoshi Bike+,0,0,0,-0.25,0.75,-0.25,0.75,0.75,0.75,0.5,-1.25,0.5
Master Cycle+ (DLC),0.25,-0.25,0.5,-0.25,0,0,0.5,0.5,0.5,0.25,-0.75,0
City Tripper* (DLC),0,0.25,0.25,-0.25,0.25,-0.25,0.5,0.5,0.5,0.25,-0.5,0.25
"Standard ATV*
Standard Quad",0,0.5,0,-0.25,-0.5,0.5,-0.5,0.75,-0.25,-0.75,0.5,-0.75
Wild Wiggler,0,0.25,0.25,-0.25,0.25,-0.25,0.5,0.5,0.5,0.25,-0.5,0.25
Teddy Buggy,0,0,0,0,0,0,0,0,0,0,0,0
Bone Rattler (DLC),0,0.5,0.25,-0.25,-0.25,0.25,-0.25,0.5,0.25,-0.75,0.25,-0.5
