Name,Speed - Ground,Speed - Water,Speed - Air,Speed - Anti-Gravity,Acceleration,Weight,Handling - Ground,Handling - Water,Handling - Air,Handling - Anti-Gravity,Traction,Mini-Turbo
"Standard
Normal",0,0,0,0,0,0,0,0,0,0,0,0
Monster,0,-0.5,-0.5,0,-0.5,0.5,-0.75,-0.75,-0.75,-0.75,0.75,0
Roller,-0.5,0,0.5,-0.5,1,-0.5,0.25,0.25,0.25,0.25,-0.25,1.5
Slim,0.25,-0.25,0.25,0.25,-0.25,0,0.25,0.25,0.25,0.25,-0.5,0.25
Slick,0.5,-1,0.5,0.5,-0.25,0.25,0,0,0,0,-1,0.25
Metal,0.25,-0.25,0.25,0.25,-0.5,0.5,0,0,0,0,-0.5,0
Button,-0.5,0,0.5,-0.5,1,-0.5,0.25,0.25,0.25,0.25,-0.25,1.5
Off-Road,0,0,0,0,0,0,0,0,0,0,0,0
Sponge,-0.25,-1,0.25,-0.25,0.25,-0.25,-0.25,-0.5,0,-0.25,0.5,0.75
"Wood
Wooden",-0.25,-1,0.25,-0.25,0.25,-0.25,-0.25,-0.5,0,-0.25,0.5,0.75
Cushion,-0.25,-1,0.25,-0.25,0.25,-0.25,-0.25,-0.5,0,-0.25,0.5,0.75
"Blue Standard
Normal Blue",0,0,0,0,0,0,0,0,0,0,0,0
"Hot Monster
Funky Monster",0,-0.5,-0.5,0,-0.5,0.5,-0.75,-0.75,-0.75,-0.75,0.75,0
Azure Roller,-0.5,0,0.5,-0.5,1,-0.5,0.25,0.25,0.25,0.25,-0.25,1.5
Crimson Slim,0.25,-0.25,0.25,0.25,-0.25,0,0.25,0.25,0.25,0.25,-0.5,0.25
Cyber Slick,0.5,-1,0.5,0.5,-0.25,0.25,0,0,0,0,-1,0.25
Retro Off-Road,0,0,0,0,0,0,0,0,0,0,0,0
"Gold Tires
Gold Wheels",0.25,-0.25,0.25,0.25,-0.5,0.5,0,0,0,0,-0.5,0
"GLA Tires (DLC)
GLA Wheels",0,0,0,0,0,0,0,0,0,0,0,0
"Triforce Tires (DLC)
Triforce Tyres",0.25,-0.25,0.25,0.25,-0.25,0,0.25,0.25,0.25,0.25,-0.5,0.25
"Leaf Tires (DLC)
Leaf Tyres",-0.5,0,0.5,-0.5,1,-0.5,0.25,0.25,0.25,0.25,-0.25,1.5
